city,neighborhood,median_ppsqm,count,mean_ppsqm,ltype
أبها,البديع,3038.091383342328,8,4069.287145385907,sale
أبها,الروابي,2624.4343891402714,9,2601.232114280268,sale
أبها,الزهور,2510.504201680672,14,2661.0957735150173,sale
أبها,الشرقية,3119.266055045872,5,3545.4907654201534,sale
أبها,العرين,2200.0,5,2430.714262102202,sale
أبها,الغدير,2941.176470588235,9,3762.4834637604063,sale
أبها,المروج,2598.0392156862745,5,3126.1602197413386,sale
أبها,سلطانة,2477.4774774774774,5,1900.6273546273544,sale
أبو عريش,الروضة,2488.4792626728113,8,2688.711765244341,sale
أحد رفيدة,الخليج,1760.797342192691,9,2029.2877277811026,sale
أحد رفيدة,المعلاة,1970.0336941716255,18,1871.1840575676174,sale
أحد رفيدة,النزهة 1,2804.232804232804,11,2632.0106648413607,sale
ابها,البحيرة,1400.0,5,3375.639097744361,sale
ابها,البديع,2831.0502283105025,82,2850.627059108381,sale
ابها,التعاون,1300.0,6,1274.7252747252749,sale
ابها,الروابي,2500.0,120,2853.966816585708,sale
ابها,الروضة,2441.9026870007265,28,2336.261767417132,sale
ابها,الزهور,2521.0084033613443,104,2407.8131874264286,sale
ابها,الزين,1332.0776586496668,6,1325.8923439513862,sale
ابها,السلام,1358.5763745111572,16,1401.3934603346156,sale
ابها,السوسن,750.0,5,1239.5127284552846,sale
ابها,الشرقية,3081.3721579577186,36,3336.3094785306703,sale
ابها,الصفاء,2712.283044058745,72,2713.1522056606477,sale
ابها,العرين,4000.0,58,4751.423100189049,sale
ابها,العقيق,2192.3076923076924,25,2640.6933018902787,sale
ابها,الغدير,2641.509433962264,85,2839.840665108199,sale
ابها,المروة,666.6666666666666,11,1053.2878260519858,sale
ابها,المروج,2916.6666666666665,73,3045.5235376346277,sale
ابها,المطار,2574.8502994011974,9,2077.8381910721487,sale
ابها,المنتزة,1000.3254437869823,8,1435.4935802855664,sale
ابها,النرجس,1700.0,9,1700.310841996294,sale
ابها,النعمان,2151.1341222879682,6,2196.540408505677,sale
ابها,الوصايف,2209.3023255813955,7,2008.567088086918,sale
ابها,الياقوت,2906.4039408866993,16,3146.762374871175,sale
ابها,تمنية,770.3295454545455,7,1227.8788173123946,sale
ابها,سلطانة,1145.5676184035726,72,2058.0994709041606,sale
ابها,شمسان,3145.5399061032863,10,4365.369186069281,sale
ابو عريش - ابو عريش,الروضة,2941.176470588235,32,2912.7504249146436,sale
ابو عريش - ابو عريش,الصفاء,3048.7804878048782,9,3042.2198863483677,sale
ابو عريش - ابو عريش,الملك فهد,2561.859193438141,6,2551.2194433050904,sale
ابو عريش - ابو عريش,النزهة,3246.753246753247,9,3288.2314783647284,sale
ابو عريش - ابو عريش,الورود,2647.355445988346,12,2585.8360481460163,sale
ابو عريش - ابو عريش,غير محدد,1484.375,11,1586.0851642996488,sale
احد رفيدة - الواديين,العنود,2338.530066815145,14,1876.8012876979483,sale
احد رفيده,ال بريد,2653.061224489796,20,2751.6892398306472,sale
احد رفيده,ال قيشه,2284.4827586206898,6,1892.8467432950192,sale
احد رفيده,الخليج,2686.819296344871,6,3723.7178288727155,sale
احد رفيده,المعلاة,2487.5621890547263,53,2396.7725503111046,sale
احد رفيده,النزهة 1,2722.772277227723,44,2675.5593072650163,sale
احد رفيده,النزهة 2,1957.8474246841593,8,2107.5009054070333,sale
احد رفيده,النهضة,1942.7402862985684,9,2035.0101739325992,sale
الأحساء,-,4000.0,5,4078.571428571429,sale
الاحساء,الأمراء,735.0,6,765.7541876046902,sale
الاحساء,البندرية,2125.0,5,1936.8703398906496,sale
الاحساء,الجامعيين,2849.740932642487,11,2909.175558240663,sale
الاحساء,الحزام الأخضر,1625.912408759124,8,2034.6242419756886,sale
الاحساء,الحزام الذهبي,3206.339530630905,6,3368.031434680043,sale
الاحساء,الحمراء الثاني,1350.0,5,1956.9475485754556,sale
الاحساء,الدانة,2482.1339190119306,54,2460.4458520708586,sale
الاحساء,الدوحة,1050.0,9,1061.1784846486562,sale
الاحساء,الرابية,1113.3648881239242,17,1877.6580259225764,sale
الاحساء,الراشدية الثالث,5400.0,8,5004.209183673469,sale
الاحساء,الربوة,1499.4983277591973,5,2563.3982881413713,sale
الاحساء,الرياض الثاني,533.34,5,528.268,sale
الاحساء,الريان,3684.5238095238096,6,3191.6386844485746,sale
الاحساء,الزهراء,4750.0,9,4221.012849584278,sale
الاحساء,السلمانية الأول,2153.846153846154,8,3755.188736504195,sale
الاحساء,السلمانية الرابع,2555.5555555555557,6,2633.974815500653,sale
الاحساء,الصقور,700.0,46,1047.698262119379,sale
الاحساء,العاصمة,4090.909090909091,11,3605.459733371194,sale
الاحساء,العزيزية الثاني,1955.9397163120568,6,2345.5937850977434,sale
الاحساء,القدس,950.0,17,1622.6509585422664,sale
الاحساء,النايفية,3492.063492063492,10,3602.405864143721,sale
الاحساء,النخيل,2921.3483146067415,9,3136.3453254282963,sale
الاحساء,الهدا,1250.0348432055748,14,1908.9739178338566,sale
الاحساء,الواحة,4006.8574599651183,6,3669.015815096009,sale
الاحساء,الورود الثالث,699.7222222222222,32,720.5774332616376,sale
الاحساء,الورود الثاني,660.0,25,660.2864119916355,sale
الاحساء,غير محدد,700.0,9,692.6762642316527,sale
الاحساء,منسوبي التعليم الأول,3019.3236714975847,20,3000.270569925189,sale
الاحساء,منسوبي التعليم الثاني,2758.6206896551726,5,3117.6056708487863,sale
الاحساء,هجر الثاني عشر,619.047619047619,7,593.0818594104309,sale
الباحة,الرحاب,521.6636500754148,8,606.1076181057097,sale
الباحة,الواحة,720.5,6,746.8333333333334,sale
البدائع,الأندلس,555.1020408163265,6,859.3214521468993,sale
البدائع,الروضة,437.5,9,943.1344808498844,sale
البدائع,القادسية,1400.0,9,1301.9872139279405,sale
البدائع,غير محدد,1000.0,7,1100.0241484593184,sale
البره,البره,477.0,5,488.74920634920636,sale
البريكه,غير محدد,416.6666666666667,5,433.4394400099347,sale
البصر,البصر3,517.799352750809,23,696.8398440604916,sale
البصر,الميداء,629.9297725024728,20,919.5623317770957,sale
البصر,ضراس,575.0159651669086,25,1189.8006245931865,sale
البكيرية,الديرة,1286.1236872812135,7,16694.851789135526,sale
البكيرية,الربوة,350.1575757575758,9,709.6277857944525,sale
البكيرية,القادسية,920.7575757575758,8,1041.271645021645,sale
البكيرية,المنار,386.0,5,930.5333333333334,sale
